Geo Point,NOMBDEP,NOMBPROV,NOMBDIST,CAPITAL,POBLACION
-6.48436432649|-79.2455186799,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,LICUPIS,943
-6.62091657124|-78.8593791755,CAJAMARCA,SANTA CRUZ,LA ESPERANZA,LA ESPERANZA,2356
-12.0510554271|-77.0490377322,LIMA,LIMA,LIMA,LIMA,293647
-12.1207933935|-77.029088411,LIMA,LIMA,MIRAFLORES,MIRAFLORES,114188
-12.094578172|-77.0670147948,LIMA,LIMA,MAGDALENA DEL MAR,MAGDALENA DEL MAR,67156
-12.0741048546|-76.9972984501,LIMA,LIMA,SAN LUIS,SAN LUIS,59084
-12.0432355795|-76.9632530075,LIMA,LIMA,SANTA ANITA,SANTA ANITA - LOS FICUS,221039
-12.113401365|-77.0129895952,LIMA,LIMA,SURQUILLO,SURQUILLO,105715
-12.0591441086|-77.0506366491,LIMA,LIMA,BREÑA,BREÑA,97431
-11.8048866225|-77.1633216574,LIMA,LIMA,SANTA ROSA,SANTA ROSA,29860
-9.95024018022|-76.1882250577,HUANUCO,HUANUCO,AMARILIS,PAUCARBAMBA,85724
-9.95581951073|-76.4401437409,HUANUCO,HUANUCO,YARUMAYO,YARUMAYO,1562
-9.86924038882|-76.4208060586,HUANUCO,HUANUCO,QUISQUI (KICHKI),HUANCAPALLAC,3681
-9.69197519133|-76.8307409015,HUANUCO,DOS DE MAYO,PACHAS,PACHAS,5675
-10.2989322934|-76.6375886988,HUANUCO,LAURICOCHA,SAN MIGUEL DE CAURI,CAURI,6353
-9.7146604233|-76.7315347228,HUANUCO,DOS DE MAYO,YANAS,YANAS,2320
-10.0632365433|-76.533190075,HUANUCO,HUANUCO,MARGOS,MARGOS,4573
-10.0486841217|-76.2095943187,HUANUCO,AMBO,CONCHAMARCA,CONCHAMARCA,4677
-10.3323901146|-76.2873313638,HUANUCO,AMBO,SAN FRANCISCO,MOSCA,1596
-10.0648743569|-76.179146461,HUANUCO,AMBO,TOMAY KICHWA,TOMAY KICHWA,3521
-9.90789170784|-76.794695203,HUANUCO,DOS DE MAYO,LA UNION,LA UNION,6989
-9.99639121016|-76.0580774597,HUANUCO,PACHITEA,MOLINO,MOLINO,11314
-9.80806957777|-76.551288,HUANUCO,YAROWILCA,CHAVINILLO,CHAVINILLO,4921
-9.44963078606|-76.8710373798,HUANUCO,HUAMALIES,MIRAFLORES,MIRAFLORES,3200
-9.63436383712|-75.466538627,HUANUCO,PUERTO INCA,CODO DEL POZUZO,CODO DEL POZUZO,7929
-8.8474179221|-77.1077572219,HUANUCO,HUACAYBAMBA,CANCHABAMBA,CANCHABAMBA,2762
-9.09757428466|-76.6263911934,HUANUCO,HUACAYBAMBA,COCHABAMBA,COCHABAMBA,1643
-8.65813363523|-76.7410476515,HUANUCO,MARAÑON,CHOLON,SAN PEDRO DE CHONTA,5929
-7.04088986964|-75.2998309838,LORETO,UCAYALI,INAHUAYA,INAHUAYA,1844
-13.5981914718|-73.3092908354,APURIMAC,ANDAHUAYLAS,PACUCHA,PACUCHA,8585
-14.2377216725|-72.0146323972,CUSCO,CHUMBIVILCAS,COLQUEMARCA,COLQUEMARCA,7570
-14.4623482549|-72.2364913159,CUSCO,CHUMBIVILCAS,LLUSCO,LLUSCO,4781
-14.377230649|-72.20523904,CUSCO,CHUMBIVILCAS,QUIÑOTA,QUIÑOTA,4185
-14.5523439571|-71.2911718037,CUSCO,CANAS,KUNTURKANKI,EL DESCANSO,5345
-14.3853401139|-71.297401955,CUSCO,CANAS,LANGUI,LANGUI,2223
-14.1510113576|-71.5270523507,CUSCO,CANAS,TUPAC AMARU,TUNGASUCA,2737
-14.0470703961|-71.5064659199,CUSCO,ACOMAYO,ACOPIA,ACOPIA,2987
-14.1006161453|-71.4789411182,CUSCO,ACOMAYO,MOSOC LLACTA,MOSOC LLACTA,1214
-14.6507969563|-72.2087068926,CUSCO,CHUMBIVILCAS,SANTO TOMAS,SANTO TOMAS,23837
-15.2600285673|-73.4594917988,AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA,QUILCATA,493
